ulan_id,profession_type,count
http://vocab.getty.edu/aat/300025763,metropolitans (prelates),2
http://vocab.getty.edu/aat/300025086,military engineers,17
http://vocab.getty.edu/aat/300236210,military officers,76
http://vocab.getty.edu/aat/300025450,military personnel,1
http://vocab.getty.edu/aat/300386315,militiamen,13
http://vocab.getty.edu/aat/300250737,militias,1
http://vocab.getty.edu/aat/300025273,millers (people),1
http://vocab.getty.edu/aat/300025801,mineralogists,2
http://vocab.getty.edu/aat/300154329,miniaturists,7
http://vocab.getty.edu/aat/300386633,ministers (clergy),9
http://vocab.getty.edu/aat/300205362,minters,1
http://vocab.getty.edu/aat/300386698,miscellaneous,4
http://vocab.getty.edu/aat/300025764,missionaries,4
http://vocab.getty.edu/aat/300386235,mixed-media artists,10
http://vocab.getty.edu/aat/300248289,model makers,22
http://vocab.getty.edu/aat/300025417,modelers,20
http://vocab.getty.edu/aat/300025848,models (people),23
http://vocab.getty.edu/aat/300237007,monarchs,2
http://vocab.getty.edu/aat/300025765,monks,18
http://vocab.getty.edu/aat/300025276,mosaicists,12
http://vocab.getty.edu/aat/300312084,motion picture studios (businesses),1
http://vocab.getty.edu/aat/300386236,multimedia artists,1
http://vocab.getty.edu/aat/300025087,municipal engineers,2
http://vocab.getty.edu/aat/300025153,muralists (painters),6
http://vocab.getty.edu/aat/300386267,museum directors,33
http://vocab.getty.edu/aat/300312281,museums (institutions),3604
http://vocab.getty.edu/aat/300386288,music box makers,1
http://vocab.getty.edu/aat/300386303,musical instrument makers,28
http://vocab.getty.edu/aat/300025666,musicians,52
http://vocab.getty.edu/aat/300025563,musicologists,1
http://vocab.getty.edu/aat/300025781,mystics,2
http://vocab.getty.edu/aat/300185251,naive artists,42
http://vocab.getty.edu/aat/300112034,naturalists,8
http://vocab.getty.edu/aat/300024996,naval architects,6
http://vocab.getty.edu/aat/300252058,needleworkers,5
http://vocab.getty.edu/aat/300236022,nobles (aristocrats),330
http://vocab.getty.edu/aat/300253162,nonprofit organizations,46
http://vocab.getty.edu/aat/300025454,notaries,2
http://vocab.getty.edu/aat/300179382,novelists,11
http://vocab.getty.edu/aat/300025565,numismatists,1
http://vocab.getty.edu/aat/300025770,nuns,4
http://vocab.getty.edu/aat/300112039,nurserymen,2
http://vocab.getty.edu/aat/300156142,nurses,3
http://vocab.getty.edu/aat/300266051,occupants,1
http://vocab.getty.edu/aat/300136483,oceanographers,1
http://vocab.getty.edu/aat/300189710,officers (administrators),18
http://vocab.getty.edu/aat/300386367,offices (administrative entities),5
http://vocab.getty.edu/aat/300386641,officials,30
http://vocab.getty.edu/aat/300025566,orators,9
http://vocab.getty.edu/aat/300025948,organizations (groups),582
http://vocab.getty.edu/aat/300195482,ornamentists,1
http://vocab.getty.edu/aat/300237244,ornithologists,2
http://vocab.getty.edu/aat/300203630,owners,12
http://vocab.getty.edu/aat/300025136,painters (artists),1096
http://vocab.getty.edu/aat/300236851,painters (tradespeople),3
http://vocab.getty.edu/aat/300312294,painting studios (organizations),1
http://vocab.getty.edu/aat/300025491,paleographers,3
http://vocab.getty.edu/aat/300025802,paleontologists,1
http://vocab.getty.edu/aat/300386298,panel makers,1
http://vocab.getty.edu/aat/300386184,paper artists,6
http://vocab.getty.edu/aat/300025344,papermakers,3
http://vocab.getty.edu/aat/300386332,pargeters,1
http://vocab.getty.edu/aat/300403977,parks (institutions),1
http://vocab.getty.edu/aat/300160118,partnerships (companies),18
http://vocab.getty.edu/aat/300025772,patriarchs,1
http://vocab.getty.edu/aat/300251975,patricians,15
http://vocab.getty.edu/aat/300115251,patrons,400
http://vocab.getty.edu/aat/300024979,people (agents),1
http://vocab.getty.edu/aat/300025678,performance artists,22
http://vocab.getty.edu/aat/300068931,performing artists,1
http://vocab.getty.edu/aat/300025322,pewterers,9
http://vocab.getty.edu/aat/300188530,pharmacists,1
http://vocab.getty.edu/aat/300025854,philanthropists,14
http://vocab.getty.edu/aat/300025568,philologists,7
http://vocab.getty.edu/aat/300025569,philosophers,103
http://vocab.getty.edu/aat/300343368,photo archives,1
http://vocab.getty.edu/aat/300025715,photoengravers,1
http://vocab.getty.edu/aat/300025687,photographers,1310
http://vocab.getty.edu/aat/300312296,photography studios (organizations),132
http://vocab.getty.edu/aat/300025695,photojournalists,4
http://vocab.getty.edu/aat/300025809,physicians,51
http://vocab.getty.edu/aat/300025816,physicists,16
http://vocab.getty.edu/aat/300235018,pianists,2
http://vocab.getty.edu/aat/300112128,pioneers,3
http://vocab.getty.edu/aat/300025090,planners,96
http://vocab.getty.edu/aat/300161847,planning commissions,2
http://vocab.getty.edu/aat/300386170,plantation owners,1
http://vocab.getty.edu/aat/300025028,plasterers,10
http://vocab.getty.edu/aat/300386331,plasterwork artists,3
http://vocab.getty.edu/aat/300025511,playwrights,14
http://vocab.getty.edu/aat/300025513,poets,120
